10,27,34
2,0,20
7,42,41
10,3,41
3,17,17
7,47,33
1,7,74
3,44,4
4,22,22
1,7,37
7,5,11
1,25,38
6,45,57
6,10,15
8,10,65
6,16,68
8,6,16
1,4,4
9,47,67
7,41,91
3,15,41
5,0,43
10,26,46
5,43,88
1,37,59
4,11,16
6,7,27
6,5,97
3,3,73
1,2,33
5,20,88
8,16,9
6,46,29
7,10,83
5,14,98
1,9,69
4,21,33
7,49,25
9,21,92
6,19,53
3,44,97
5,2,12
9,17,45
10,34,29
1,39,26
10,40,53
10,3,77
1,8,35
2,31,4
3,40,34
7,31,53
4,1,72
2,19,39
3,47,12
1,15,90
6,0,79
1,42,79
4,42,66
7,35,12
1,28,50
9,1,89
8,45,70
4,41,29
5,5,83
7,40,3
1,42,32
9,25,70
1,46,69
6,1,87
9,22,11
7,2,65
5,23,57
6,43,95
2,24,62
6,41,73
5,41,31
6,34,13
8,0,82
2,49,98
2,20,94
5,34,87
10,5,37
6,29,24
5,10,57
10,18,35
1,37,53
1,14,7
8,43,93
3,41,94
1,48,54
4,10,73
9,11,41
10,11,82
5,40,92
5,8,55
4,21,33
10,5,9
10,16,4
2,13,55
4,40,9
