0,1
1,2
2,9
3,1
4,3
5,3
6,10
7,10
8,4
9,6
10,4
11,6
12,3
13,6
14,6
15,7
16,7
17,8
18,7
19,1
20,10
21,10
22,3
23,1
24,3
25,1
26,5
27,3
28,9
29,9
30,8
31,5
32,5
33,3
34,10
35,3
36,9
37,1
38,10
39,7
40,8
41,5
42,10
43,10
44,8
45,1
46,10
47,4
48,9
49,10
50,4
51,1
52,5
53,5
54,9
55,4
56,5
57,6
58,4
59,5
60,4
61,7
62,9
63,7
64,1
65,1
66,7
67,8
68,1
69,3
70,4
71,7
72,8
73,9
74,6
75,10
76,9
77,7
78,5
79,8
80,6
81,10
82,1
83,2
84,3
85,9
86,1
87,3
88,3
89,10
90,10
91,7
92,7
93,8
94,10
95,2
96,10
97,6
98,6
99,5
