,ride_id,user_id,req_date
0,0,18,2019-09-19
1,1,15,2020-11-20
2,2,14,2021-05-07
3,3,17,2021-02-08
4,4,2,2020-09-15
5,5,10,2019-10-01
6,6,7,2020-04-24
7,7,7,2022-04-17
8,8,14,2021-07-28
9,9,9,2022-06-18
10,10,6,2019-06-29
11,11,16,2022-09-04
12,12,15,2022-05-05
13,13,10,2020-01-15
14,14,10,2020-07-26
15,15,13,2019-03-26
16,16,5,2019-05-29
17,17,17,2020-10-16
18,18,4,2022-04-23
19,19,3,2022-07-17
20,20,11,2020-03-01
21,21,9,2020-02-13
22,22,6,2022-01-14
23,23,12,2019-02-22
24,24,20,2020-11-14
25,25,15,2019-04-25
26,26,4,2019-08-16
27,27,8,2019-01-14
28,28,16,2021-04-20
29,29,9,2019-05-27
30,30,8,2021-09-15
31,31,15,2021-09-15
32,32,14,2022-07-12
33,33,11,2020-12-18
34,34,12,2022-05-28
35,35,3,2020-12-07
36,36,12,2021-01-21
37,37,11,2022-07-29
38,38,7,2019-08-24
39,39,14,2022-06-14
40,40,13,2022-11-18
41,41,4,2019-07-12
42,42,8,2022-04-09
43,43,2,2020-05-08
44,44,5,2022-05-03
45,45,1,2020-03-17
46,46,5,2020-01-31
47,47,14,2022-05-10
48,48,17,2022-09-22
49,49,9,2021-08-29
50,50,17,2019-04-19
51,51,2,2020-10-30
52,52,7,2019-04-21
53,53,10,2021-08-28
54,54,8,2021-02-22
55,55,14,2020-09-10
56,56,18,2020-07-10
57,57,8,2019-02-13
58,58,1,2021-09-17
59,59,17,2022-07-29
60,60,16,2020-11-28
61,61,10,2020-11-18
62,62,20,2021-09-03
63,63,8,2022-06-12
64,64,14,2021-01-11
65,65,15,2022-03-12
66,66,18,2021-08-10
67,67,18,2019-04-18
68,68,1,2020-10-05
69,69,15,2021-07-28
70,70,14,2022-10-30
71,71,15,2019-05-06
72,72,18,2022-02-04
73,73,11,2019-02-18
74,74,4,2022-06-09
75,75,18,2022-03-14
76,76,14,2019-11-28
77,77,12,2019-08-07
78,78,1,2019-05-11
79,79,11,2020-09-11
80,80,6,2020-04-29
81,81,10,2022-02-05
82,82,11,2022-12-15
83,83,9,2019-12-19
84,84,5,2021-10-08
85,85,6,2020-11-16
86,86,7,2022-09-17
87,87,2,2020-10-07
88,88,11,2020-01-15
89,89,13,2022-08-10
90,90,5,2019-12-08
91,91,15,2021-03-15
92,92,15,2019-07-28
93,93,8,2022-08-29
94,94,15,2019-01-13
95,95,11,2020-02-11
96,96,18,2022-07-28
97,97,7,2019-07-11
98,98,12,2020-10-14
99,99,3,2022-01-23
100,100,5,2021-01-09
101,101,15,2021-03-02
102,102,12,2019-12-07
103,103,8,2021-04-22
104,104,20,2019-06-30
105,105,7,2020-08-13
106,106,6,2021-09-02
107,107,19,2022-09-08
108,108,1,2020-03-31
109,109,16,2022-05-10
110,110,3,2022-11-02
111,111,13,2021-09-03
112,112,10,2019-10-28
113,113,12,2019-12-06
114,114,12,2019-03-15
115,115,14,2020-01-24
116,116,5,2022-09-12
