,all_rides,accepted_rides,avg_dis,avg_dur
0,237,350,22.97142857142857,126.82857142857142
1,222,370,25.18918918918919,116.94594594594595
2,267,440,24.65909090909091,116.04545454545455
3,243,500,26.68,119.8
4,303,570,24.42105263157895,127.10526315789474
5,243,330,26.333333333333332,116.54545454545455
6,246,420,25.666666666666668,129.97619047619048
7,243,420,25.285714285714285,122.33333333333333
8,282,440,27.65909090909091,129.72727272727272
9,276,400,24.475,129.725
10,225,290,23.482758620689655,124.41379310344827
11,213,340,30.0,126.55882352941177
